"remote_ratio_description","work_year","num_employees_by_ratio","num_employees","prc_by_remote_ratio"
"Hibrid",2020,"21","75","28.00"
"Mostly Remote",2020,"36","75","48.00"
"Zero Remote",2020,"18","75","24.00"
"Hibrid",2021,"73","218","33.49"
"Mostly Remote",2021,"116","218","53.21"
"Zero Remote",2021,"29","218","13.30"
"Hibrid",2022,"61","1651","3.69"
"Mostly Remote",2022,"881","1651","53.36"
"Zero Remote",2022,"709","1651","42.94"
"Hibrid",2023,"70","8512","0.82"
"Mostly Remote",2023,"2670","8512","31.37"
"Zero Remote",2023,"5772","8512","67.81"
"Hibrid",2024,"1","407","0.25"
"Mostly Remote",2024,"96","407","23.59"
"Zero Remote",2024,"310","407","76.17"
