"work_year","location_name","avg_salaries_usd"
2020,"Austria","82683.50"
2020,"Canada","58952.33"
2020,"Croatia","45618.00"
2020,"Denmark","45896.00"
2020,"Estados Unidos de Norteamerica","147167.82"
2020,"France","50066.40"
2020,"Germany","64749.75"
2020,"Greece","47899.00"
2020,"Honduras","20000.00"
2020,"Hungary","35735.00"
2020,"India","40481.00"
2020,"Italy","21669.00"
2020,"Japon","150844.50"
2020,"Luxemburgo","62726.00"
2020,"Mauritius","100000.00"
2020,"Mexico","33511.00"
2020,"Netherlands","42000.00"
2020,"New Zeland","125000.00"
2020,"Nigeria","60000.00"
2020,"Portugal","36494.50"
2020,"Spain","59304.50"
2020,"United Arab Emirates","115000.00"
2020,"United Kindom","103225.25"
2021,"American Samoa","18053.00"
2021,"Australia","58539.00"
2021,"Austria","61467.00"
2021,"Bahamas","45555.00"
2021,"Belgium","85699.00"
2021,"Brazil","21453.50"
2021,"Canada","108410.55"
2021,"Chile","40038.00"
2021,"China","100000.00"
2021,"Colombia","21844.00"
2021,"Czech Republic","69999.00"
2021,"Denmark","45445.33"
2021,"Estados Unidos de Norteamerica","138721.51"
2021,"France","63072.67"
2021,"Germany","85700.81"
2021,"Ghana","30000.00"
2021,"Greece","40189.00"
2021,"India","33513.44"
2021,"Iraq","100000.00"
2021,"Israel","119059.00"
2021,"Italy","51064.00"
2021,"Japon","95768.75"
2021,"Luxemburgo","59102.00"
2021,"Malta","28369.00"
2021,"Moldova","18000.00"
2021,"Netherlands","57566.00"
2021,"Nigeria","55000.00"
2021,"Philiphines","50000.00"
2021,"Poland","76246.67"
2021,"Portugal","60757.00"
2021,"Romania","60000.00"
2021,"Rusia","157500.00"
2021,"Singapore","78132.00"
2021,"Slovenia","63831.00"
2021,"Spain","51331.40"
2021,"Thaland","15000.00"
2021,"Turkey","24093.50"
2021,"United Kindom","79003.53"
2022,"Algeria","100000.00"
2022,"American Samoa","50000.00"
2022,"Argentina","50000.00"
2022,"Australia","88339.00"
2022,"Austria","67098.33"
2022,"Belgium","68030.50"
2022,"Brazil","63750.00"
2022,"Canada","126009.55"
2022,"Colombia","125000.00"
2022,"Czech Republic","30469.00"
2022,"Egypt","22800.00"
2022,"Estados Unidos de Norteamerica","147559.58"
2022,"Estonia","31520.00"
2022,"Finland","63040.00"
2022,"France","72684.47"
2022,"Germany","70410.84"
2022,"Ghana","15000.00"
2022,"Greece","56739.09"
2022,"Hungary","17684.00"
2022,"India","35708.93"
2022,"Indonesia","34208.00"
2022,"Iran","100000.00"
2022,"Ireland","120301.00"
2022,"Italy","46229.00"
2022,"Japon","41809.00"
2022,"Lithuania","94812.00"
2022,"Malaysia","40000.00"
2022,"Mexico","132500.00"
2022,"Netherlands","85288.89"
2022,"Nigeria","200000.00"
2022,"Pakistan","30000.00"
2022,"Poland","38987.00"
2022,"Portugal","48921.38"
2022,"Puerto Rico","167500.00"
2022,"Rusia","61227.50"
2022,"Singapore","65257.00"
2022,"Spain","47997.34"
2022,"Switzerland","93878.33"
2022,"Turkey","25000.00"
2022,"United Arab Emirates","92500.00"
2022,"United Kindom","83909.36"
2023,"Andorra","50745.00"
2023,"Argentina","65000.00"
2023,"Armenia","50000.00"
2023,"Australia","157126.39"
2023,"Bosnia & Hersegovina","120000.00"
2023,"Brazil","63252.57"
2023,"Canada","150724.14"
2023,"Central African Republic","49216.00"
2023,"Colombia","79928.57"
2023,"Croatia","92280.00"
2023,"Czech Republic","107968.00"
2023,"Denmark","64781.00"
2023,"Ecuador","16000.00"
2023,"Estados Unidos de Norteamerica","159585.15"
2023,"Estonia","48393.44"
2023,"Finland","71259.00"
2023,"France","100411.19"
2023,"Germany","116289.00"
2023,"Ghana","36000.00"
2023,"Gibraltar","79976.00"
2023,"Greece","19434.00"
2023,"Hong Kong","65058.00"
2023,"Hungary","43000.00"
2023,"India","47777.52"
2023,"Ireland","106882.17"
2023,"Israel","266468.50"
2023,"Italy","53863.44"
2023,"Japon","160000.00"
2023,"Kenya","65000.00"
2023,"Latvia","58626.33"
2023,"Lithuania","100410.00"
2023,"Luxemburgo","21000.00"
2023,"Mexico","80000.00"
2023,"Netherlands","76846.11"
2023,"New Zeland","164951.50"
2023,"Nigeria","34800.00"
2023,"Norway","88462.00"
2023,"Philiphines","60226.67"
2023,"Poland","62935.20"
2023,"Portugal","51521.00"
2023,"Qatar","300000.00"
2023,"Republic of Korea","47000.00"
2023,"Romania","46426.00"
2023,"Rusia","36666.67"
2023,"Saudi Arabia","134999.00"
2023,"Singapore","46197.00"
2023,"Slovenia","52364.00"
2023,"South Africa","62935.40"
2023,"Spain","60701.59"
2023,"Sweden","98791.33"
2023,"Switzerland","83661.33"
2023,"Thaland","26957.00"
2023,"Turkey","19190.50"
2023,"Ukraine","121333.33"
2023,"United Kindom","105574.48"
2023,"Vietnam","63000.00"
2024,"Canada","143918.13"
2024,"Egypt","152650.00"
2024,"Estados Unidos de Norteamerica","152854.96"
2024,"Germany","16666.00"
2024,"India","87500.00"
2024,"Ireland","97222.00"
2024,"Portugal","72221.50"
2024,"United Kindom","86141.00"
